"??? ????????","???????","ID","Credit","Debit","??????","???? ??????"
21342,,1,220000,0,"EGP","Client paid for our legal service fees of Cassation case no. 1 / 88j"
21338,,2,11000,0,"EGP","Client paid our legal service for Attending a Meeting for General Assembly (MGA) scheduled at 21/02/2018."
21327,,11,2000,0,"USD","Client paid our legal service for Legal Opinion re. the impact of new investment law no. 72 of 2017 on the company"
21315,,14,3000,0,"EGP","Client paid in advance admin fees for appeal no. 11048/134j"
21343,,15,10000,0,"EGP","Client paid for advance admin fees of Cassation case no. 1 / 88j"
21352,,16,16500,0," USD","Client paid the 1st installment of our legal fees for Public Prosecutor investigations about a tax evasion"
21353,,17,10000,0,"EGP","Client paid in advance admin fees for Public Prosecutor investigations about a tax evasion"
21233,,19,14000,0,"EGP","Client paid a part of our legal fees for case no. 20/73j"
21234,,20,7000,0,"EGP","Client paid in advance admin fees for case no. 20/73j"
20440,,21,20000,0,"EGP","Client paid the 1st installment of our legal service for cases no. 42992/68j, 826/6j & 10/2014"
20441,,22,2000,0,"EGP","Client paid in advance admin fees for cases no. 42992/68j, 826/6j & 10/2014"
21175,,26,242081,0,"EGP","Client paid the 2nd installment of our legal service fees for retainer agreement started in 1/1/2017 (for the domestic factory branch)"
20981,,27,2000,0,"EGP","Client paid advanced admin fees for case no. 3226/2013"
20979,,28,2222,0,"EGP","Client paid the actual expenses for case no. 3023/2013"
21131,,29,33000,0,"EGP","Client paid the 1st installment of our legal fees for cases no. 4702/2014 & 4287/2014"
21132,,30,3500,0,"EGP","Client paid in advance admin fees for cases no. 4702/2014 & 4287/2014"
21137,,31,22000,0,"EGP","client paid the 1st installment of our legal fees for appeal no. 858 / 20j"
21138,,32,2000,0,"EGP","Client paid in advance admin fees for appeal no. 858 / 20j"
21280,,34,33000,0,"EGP","Client paid the 1st installment of our legal fees for case no. 1922/2017"
21169,,37,41250,0,"EGP","Client paid the 1st installment of our legal service fees for retainer agreement dated 1/7/2017"
21014,,38,3000,0,"EGP","Client paid in advance admin fees for Establishment of an Egyptian joint stock company called Libra."
21329,,40,9468,0,"EGP","Client paid the actual expenses for cases no. 163/2016, 691/2016 & 152/2016."
21368,,41,30000,0,"EGP","Client paid part of the 1st installment of our legal service fees for appeal no. 302/2018"
21366,,42,75000,0,"EGP","Client paid the 1st installment of our legal service fees for appeals no. 105,129/135j, without VAT"
21136,,43,11000,0,"EGP","Client paid the 2nd installment of our legal fees for case no. 858/2014"
21127,,44,8250,0,"EGP","Client paid the 2nd installment of our legal fees for appeal no. 760/16j"
21133,,45,2475,0,"USD","Client paid the 2nd installment of our legal fees for case no. 4933/2009"
20659,,46,16000,0,"EGP","Client paid a part of the 1st installment of our legal fees for case no. 4324/2014 + in advance admin fees"
21033,,47,20000,0,"EGP","Client paid a part of the 1st installment of our legal fees for case no. 595/2016"
0,,48,2000,0,"EGP","Client paid advanced admin fees for case no. 9886/2014"
20253,,49,11500,0,"EGP","Client paid a part of the 1st installment of our legal fees for case no. 858/2014 + in advance admin fees"
21386,,50,572000,0,"EGP","Client paid the 1st installment of our legal service fees for  cassation cases 5321,5428,5431,5461/88j"
21367,,51,5000,0,"EGP","Client paid advanced admin fees for appeals no. 105,129/135j"
21369,,52,5000,0,"EGP","Client paid the advance admin fees for appeal no. 302/2018"
21372,,53,2000,0,"EGP","Client paid advanced admin fees for cassation no. 4602/88j"
21376,,54,500,0,"USD","Client paid advanced admin fees for reviewing & amending contract of distribution the company products in South Africa"
20516,,80,11000,0,"USD","Client paid the 1st installment of our legal service fees for case no. 3804/2013 + in advance admin fees"
21408,21/5/2018 0:00:00,81,30000,0,"EGP","Client paid a part for the 1st installment of our legal service fees for appeal no. 302/2018"
20569,,83,28000,0,"EGP","client paid the 1st installment of our legal fees, article (1), for dispute with Anwar Abd El-Salam + in advance admin fees"
20835,,84,25000,0,"EGP","client paid the 2nd installment of our legal fees, article (1), for dispute with Anwar Abd El-Salam"
20836,,85,28000,0,"EGP","client paid the 1st installment of our legal fees, article (2), for dispute with Anwar Abd El-Salam + in advance admin fees"
